oversampling_ratio,n_estimators,learning_rate,max_depth,time_to_process_seconds,Accuracy,F1,Precision,Recall,Kaggle_Score_Private,Kaggle_Score_Public,File
0.5,200,0.2,1,54.2,0.93,0.89,0.97,0.82,NaN,NaN,
0.5,200,0.2,2,92.2,0.94,0.91,0.97,0.85,NaN,NaN,
0.5,200,0.2,3,134.8,0.95,0.93,0.97,0.88,NaN,NaN,
0.5,200,0.2,4,199.3,0.97,0.95,0.98,0.93,NaN,NaN,
0.5,200,0.2,5,202.8,0.99,0.98,0.99,0.98,NaN,NaN,
0.5,200,0.2,6,262.5,1,1,0.99,1,NaN,NaN,
0.5,200,0.2,7,286.9,1,1,1,1,0.90872,0.9207,gradboost_prediction_submission_1.csv
0.5,200,0.2,8,330,1,1,1,1,NaN,NaN,
0.5,150,0.2,7,208,1,1,0.99,1,NaN,NaN,
0.5,125,0.2,7,156.9,1,1,0.99,1,NaN,NaN,
0.5,115,0.2,7,158.3,1,0.99,0.99,1,NaN,NaN,
0.5,100,0.2,7,145,1,0.99,0.99,1,0.91674,0.92144,gradboost_prediction_submission_5.csv
0.5,75,0.2,7,109.6,0.99,0.98,0.99,0.98,NaN,NaN,
0.5,50,0.2,7,79.5,0.98,0.97,0.98,0.96,NaN,NaN,
0.5,25,0.2,7,35.9,0.96,0.93,0.98,0.89,NaN,NaN,
0.5,200,0.01,7,267.7,0.94,0.9,0.98,0.84,NaN,NaN,
0.5,200,0.05,7,282.7,0.97,0.96,0.98,0.93,NaN,NaN,
0.5,200,0.1,7,287.7,0.99,0.99,0.99,0.99,NaN,NaN,
0.5,200,0.15,7,282.4,1,1,0.99,1,NaN,NaN,
0.5,200,0.5,7,282.1,1,1,0.99,1,NaN,NaN,
0.5,200,0.75,7,262.3,0.98,0.96,0.96,0.97,NaN,NaN,
0.5,200,1,7,285.8,0.87,0.79,0.84,0.74,NaN,NaN,
0.1,200,0.2,1,39.8,0.98,0.88,0.99,0.79,NaN,NaN,
0.1,200,0.2,2,71.3,0.98,0.88,0.98,0.8,NaN,NaN,
0.1,200,0.2,3,103,0.98,0.9,0.97,0.83,NaN,NaN,
0.1,200,0.2,4,125.7,0.99,0.92,0.97,0.88,NaN,NaN,
0.1,200,0.2,5,155.9,0.99,0.96,0.97,0.94,NaN,NaN,
0.1,200,0.2,6,184.6,1,0.98,0.98,0.98,NaN,NaN,
0.1,200,0.2,7,233.7,1,0.98,0.97,1,0.90724,0.91501,gradboost_prediction_submission_2.csv
0.1,200,0.2,8,240,1,0.99,0.98,1,NaN,NaN,
0.1,150,0.2,7,281.3,1,0.98,0.97,0.99,NaN,NaN,
0.1,125,0.2,7,135,1,0.98,0.97,0.98,NaN,NaN,
0.1,115,0.2,7,126.4,1,0.97,0.97,0.98,NaN,NaN,
0.1,100,0.2,7,107.1,0.99,0.97,0.97,0.97,NaN,NaN,
0.1,75,0.2,7,77.9,0.99,0.95,0.97,0.94,NaN,NaN,
0.1,50,0.2,7,53.4,0.99,0.93,0.97,0.9,NaN,NaN,
0.1,25,0.2,7,26.4,0.98,0.9,0.97,0.85,NaN,NaN,
0.1,200,0.01,7,231.1,0.98,0.88,0.99,0.78,NaN,NaN,
0.1,200,0.05,7,219.1,0.99,0.92,0.98,0.87,NaN,NaN,
0.1,200,0.1,7,227.7,0.99,0.97,0.98,0.95,NaN,NaN,
0.1,200,0.15,7,211.9,1,0.98,0.98,0.99,NaN,NaN,
0.1,200,0.5,7,222.1,0.97,0.87,0.79,0.97,NaN,NaN,
0.1,200,0.75,7,218.2,0.99,0.94,0.91,0.96,NaN,NaN,
0.1,200,1,7,211.1,0.98,0.9,0.91,0.88,NaN,NaN,
0.1,100,0.2,6,96.3,0.99,0.95,0.97,0.92,0.90564,0.91893,gradboost_prediction_submission_3.csv
0.5,100,0.2,6,130.5,0.98,0.98,0.999,0.97,0.91977,0.9223,gradboost_prediction_submission_4.csv
0.5,100,0.1,6,133.5,0.96,0.94,0.98,0.91,0.92169,0.9269,gradboost_prediction_submission_6.csv
0.5,200,0.1,6,260.8,0.98,0.97,0.99,0.96,0.92094,0.92649,gradboost_prediction_submission_7.csv
1,100,0.1,6,173.7,0.95,0.95,0.98,0.93,0.92975,0.92051,gradboost_prediction_submission_8.csv
0,100,0.1,6,87.6,0.99,0.83,0.89,0.77,0.89975,0.91382,gradboost_prediction_submission_9.csv
